participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,name,inter_time_interval,response_time,response_window,late_response,correct_button
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,7,DG-03-MW-021,500,295.7570553,370,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,7,DG-03-MW-021,500,264.4239664,220,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,8,DG-03-MW-021,500,285.1909995,360,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,8,DG-03-MW-021,500,267.7380443,260,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,9,DG-03-MW-021,500,376.6769767,340,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,9,DG-03-MW-021,500,273.4929919,340,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,10,DG-03-MW-021,500,307.5450063,380,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,10,DG-03-MW-021,500,247.3800182,330,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,11,DG-03-MW-021,500,242.998004,370,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,11,DG-03-MW-021,500,299.6530533,320,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,12,DG-03-MW-021,500,250.180006,360,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,12,DG-03-MW-021,500,276.2380242,300,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,13,DG-03-MW-021,500,309.2499971,340,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,13,DG-03-MW-021,500,240.7960296,260,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,14,DG-03-MW-021,500,229.1380167,300,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,14,DG-03-MW-021,500,297.7580428,180,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,15,DG-03-MW-021,500,319.3150163,220,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,15,DG-03-MW-021,500,231.3779593,220,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,16,DG-03-MW-021,500,367.1009541,260,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,16,DG-03-MW-021,500,246.6579676,260,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,17,DG-03-MW-021,500,260.6499791,300,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,17,DG-03-MW-021,500,290.4850245,250,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,18,DG-03-MW-021,500,290.3730273,290,1,0
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,18,DG-03-MW-021,500,286.4539623,290,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Left,19,DG-03-MW-021,500,258.415997,330,0,1
ADMIN-UCSF-,2017-06-07 20:57:19+00:00,2017-06-07 21:10:26+00:00,,Right,19,DG-03-MW-021,500,298.0499864,280,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,0,DG-02-TJ-029,500,397.9259729,500,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,0,DG-02-TJ-029,500,500,500,0,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,1,DG-02-TJ-029,500,384.9579692,490,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,1,DG-02-TJ-029,,,,,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,2,DG-02-TJ-029,500,368.3769703,480,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,2,DG-02-TJ-029,540,319.7060227,540,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,3,DG-02-TJ-029,500,343.3949947,460,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,3,DG-02-TJ-029,540,358.610034,530,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,4,DG-02-TJ-029,500,341.6849971,420,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,4,DG-02-TJ-029,540,369.9370027,520,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,5,DG-02-TJ-029,500,345.1960087,340,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,5,DG-02-TJ-029,540,275.7790089,500,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,6,DG-02-TJ-029,500,355.9280038,380,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,6,DG-02-TJ-029,540,288.3749604,460,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,7,DG-02-TJ-029,500,386.5199685,370,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,7,DG-02-TJ-029,540,315.2239919,380,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,8,DG-02-TJ-029,500,366.7060137,410,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,8,DG-02-TJ-029,540,272.3099589,220,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,9,DG-02-TJ-029,500,380.9059858,400,0,1
