Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Inter Time Interval,Late Response,Response Time,Response Window
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,RightThumb,3,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,900,0,368,5000
ucsfww0003,2019-09-12T16:24:31.616Z,2019-09-12T16:24:31.616Z,,RightThumb,4,56.16111,100.443954,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1200,0,484,5000
ucsfww0003,2019-09-12T16:25:43.397Z,2019-09-12T16:25:43.397Z,,Right,0,56.2850342,97.56716,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,900,0,4567,5000
ucsfww0003,2019-09-12T16:25:43.397Z,2019-09-12T16:25:43.397Z,,Right,1,56.2850342,97.56716,TimeOut,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,800,0,0,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,Left,0,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,0,1100,0,84,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,Left,1,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,900,0,901,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,Left,2,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,800,0,634,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,Left,3,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1000,0,351,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,Left,4,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1200,0,367,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,LeftThumb,0,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,900,0,484,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,LeftThumb,1,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1000,0,1001,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,LeftThumb,2,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,800,0,650,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,LeftThumb,3,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1100,0,618,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,LeftThumb,4,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1200,0,668,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,Right,0,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1100,0,784,5000
ucsfww0003,2019-09-12T16:25:57.614Z,2019-09-12T16:25:57.614Z,,Right,1,56.661377,88.808075,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,7",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,970,0,1,1000,0,434,5000
