Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,RG Color Deficiency,Trial Correct,Trial Cue,Trial Response
ucsfww0008,2019-09-12T16:27:52.459Z,2019-09-12T16:27:52.459Z,,default,0,57.0835953,81.07175,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,-1,-1
ucsfww0008,2019-09-12T16:27:52.459Z,2019-09-12T16:27:52.459Z,,default,1,57.0835953,81.07175,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,15,15
ucsfww0008,2019-09-12T16:27:52.459Z,2019-09-12T16:27:52.459Z,,default,2,57.0835953,81.07175,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,16,16
ucsfww0008,2019-09-12T16:27:52.459Z,2019-09-12T16:27:52.459Z,,default,3,57.0835953,81.07175,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,6,6
ucsfww0008,2019-09-12T16:27:52.459Z,2019-09-12T16:27:52.459Z,,default,4,57.0835953,81.07175,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,12,12
ucsfww0008,2019-09-12T16:27:52.459Z,2019-09-12T16:27:52.459Z,,default,5,57.0835953,81.07175,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,42,42
ucsfww0008,2019-09-12T16:27:52.459Z,2019-09-12T16:27:52.459Z,,default,6,57.0835953,81.07175,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,6,6
ucsfww0011,2019-09-12T16:37:20.714Z,2019-09-12T16:37:20.714Z,,default,0,53.59256,146.14653,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,45,-1
ucsfww0011,2019-09-12T16:37:20.714Z,2019-09-12T16:37:20.714Z,,default,1,53.59256,146.14653,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,7,7
ucsfww0011,2019-09-12T16:37:20.714Z,2019-09-12T16:37:20.714Z,,default,2,53.59256,146.14653,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,-1,-1
