Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Object Count,Point 0 RT,Point 1 RT,Point 10 RT,Point 11 RT,Point 12 RT,Point 13 RT,Point 14 RT,Point 2 RT,Point 3 RT,Point 4 RT,Point 5 RT,Point 6 RT,Point 7 RT,Point 8 RT,Point 9 RT,Response Time,Response Window,Stimulus Array Time,Tap 0 RT,Tap 1 RT,Tap 10 RT,Tap 11 RT,Tap 12 RT,Tap 13 RT,Tap 14 RT,Tap 2 RT,Tap 3 RT,Tap 4 RT,Tap 5 RT,Tap 6 RT,Tap 7 RT,Tap 8 RT,Tap 9 RT,Total Taps
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,7,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,5,"{99, 293}","{427, 315}",N/A,N/A,N/A,N/A,N/A,"{591, 244}","{230, 224}","{249, 41}",N/A,N/A,N/A,N/A,N/A,1200,-1,6000,566,634,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,8,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,5,"{640, 122}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{99, 293}","{456, 183}","{446, 61}",N/A,N/A,N/A,N/A,N/A,2417,-1,6000,717,700,N/A,N/A,N/A,N/A,N/A,1000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0005,2019-09-12T16:46:51.535Z,2019-09-12T16:46:51.535Z,,default,9,57.26412,74.90265,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,5,"{249, 41}","{446, 61}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{427, 315}","{230, 224}",N/A,N/A,N/A,N/A,N/A,4000,-1,6000,850,416,N/A,N/A,N/A,N/A,N/A,1267,650,817,N/A,N/A,N/A,N/A,N/A,5
ucsfww0007,2019-09-12T16:49:27.604Z,2019-09-12T16:49:27.604Z,,default,0,57.71987,67.11246,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,3,"{99, 293}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2817,-1,4000,1283,817,N/A,N/A,N/A,N/A,N/A,717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0007,2019-09-12T16:49:27.604Z,2019-09-12T16:49:27.604Z,,default,1,57.71987,67.11246,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,3,"{456, 183}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{591, 244}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2600,-1,4000,1217,800,N/A,N/A,N/A,N/A,N/A,583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0007,2019-09-12T16:49:27.604Z,2019-09-12T16:49:27.604Z,,default,2,57.71987,67.11246,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,4,"{456, 183}","{99, 293}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{230, 224}",N/A,N/A,N/A,N/A,N/A,N/A,2967,-1,5000,967,667,N/A,N/A,N/A,N/A,N/A,666,667,N/A,N/A,N/A,N/A,N/A,N/A,4
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,0,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,3,"{99, 293}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2650,-1,4000,1300,500,N/A,N/A,N/A,N/A,N/A,850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,1,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,3,"{456, 183}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{591, 244}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2267,-1,4000,1417,850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,2,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,3,"{427, 315}","{249, 41}",N/A,N/A,N/A,N/A,N/A,"{49, 102}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2517,-1,4000,1083,684,N/A,N/A,N/A,N/A,N/A,750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,3,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,3,"{49, 102}","{591, 244}",N/A,N/A,N/A,N/A,N/A,"{427, 315}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2150,-1,4000,733,750,N/A,N/A,N/A,N/A,N/A,667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,4,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,4,"{456, 183}","{99, 293}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{230, 224}",N/A,N/A,N/A,N/A,N/A,N/A,3234,-1,5000,617,883,N/A,N/A,N/A,N/A,N/A,1117,617,N/A,N/A,N/A,N/A,N/A,N/A,4
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,5,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,4,"{249, 41}","{640, 122}",N/A,N/A,N/A,N/A,N/A,"{99, 293}","{49, 102}",N/A,N/A,N/A,N/A,N/A,N/A,3167,-1,5000,2350,817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
