,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Trial Cue,Trial Response,Response Window,Trial Number,FPS Mean,FPS Variance,Condition,Trial Correct,RG Color Deficiency,Time Sent Utc,Detail,Finger Used
25,2024-02-05T14:23:16.8410000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_20,Successful,0,Real,Mac OS X 10_15_7,1482,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M1, Unspecified Version)",0,17,10,1,128,1.22.27,0,Chrome 118,3,42,42,-1,4,114.098625,71.7241745,DEFAULT,1,N/A,2024-02-05T14:23:16.8410000Z,N/A,N/A
26,2024-02-05T14:23:16.8410000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_20,Successful,0,Real,Mac OS X 10_15_7,1482,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M1, Unspecified Version)",0,17,10,1,128,1.22.27,0,Chrome 118,3,73,73,-1,5,114.699059,68.57024,DEFAULT,1,N/A,2024-02-05T14:23:16.8410000Z,N/A,N/A
27,2024-02-05T14:23:16.8410000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_20,Successful,0,Real,Mac OS X 10_15_7,1482,2396,Eastern Standard Time,"ANGLE (Apple, ANGLE Metal Renderer: Apple M1, Unspecified Version)",0,17,10,1,128,1.22.27,0,Chrome 118,3,3,3,-1,6,114.665016,70.80139,DEFAULT,1,N/A,2024-02-05T14:23:16.8410000Z,N/A,N/A
28,2023-11-29T22:50:24.1650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_11,Successful,0,Real,Windows 10,1181,2097,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics 520 (0x00001916) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 118,3,12,12,-1,0,55.8783073,71.90774,DEFAULT,1,N/A,2023-11-29T22:50:24.1650000Z,N/A,N/A
29,2023-11-29T22:50:24.1650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_11,Successful,0,Real,Windows 10,1181,2097,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics 520 (0x00001916) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 118,3,45,45,-1,1,55.56069,50.7553673,DEFAULT,1,N/A,2023-11-29T22:50:24.1650000Z,N/A,N/A
30,2023-11-29T22:50:24.1650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_11,Successful,0,Real,Windows 10,1181,2097,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics 520 (0x00001916) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 118,3,5,5,-1,2,54.542347,48.05718,DEFAULT,1,N/A,2023-11-29T22:50:24.1650000Z,N/A,N/A
31,2023-11-29T22:50:24.1650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_11,Successful,0,Real,Windows 10,1181,2097,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics 520 (0x00001916) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 118,3,-1,-1,-1,3,55.81374,27.44803,DEFAULT,1,N/A,2023-11-29T22:50:24.1650000Z,N/A,N/A
32,2023-11-29T22:50:24.1650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_11,Successful,0,Real,Windows 10,1181,2097,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics 520 (0x00001916) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 118,3,29,29,-1,4,55.49779,58.4190674,DEFAULT,1,N/A,2023-11-29T22:50:24.1650000Z,N/A,N/A
33,2023-11-29T22:50:24.1650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_11,Successful,0,Real,Windows 10,1181,2097,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics 520 (0x00001916) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 118,3,3,3,-1,5,55.17071,33.2806053,DEFAULT,1,N/A,2023-11-29T22:50:24.1650000Z,N/A,N/A
34,2023-11-29T22:50:24.1650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_11,Successful,0,Real,Windows 10,1181,2097,Eastern Standard Time,"ANGLE (Intel, Intel(R) HD Graphics 520 (0x00001916) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 118,3,26,26,-1,6,54.07864,68.14664,DEFAULT,1,N/A,2023-11-29T22:50:24.1650000Z,N/A,N/A
