,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Object Count,Response Time,Stimulus Array Time,Total Taps,Point 0 RT,Tap 0 RT,Point 1 RT,Tap 1 RT,Point 2 RT,Tap 2 RT,Point 3 RT,Tap 3 RT,Point 4 RT,Tap 4 RT,Point 5 RT,Tap 5 RT,Point 6 RT,Tap 6 RT,Point 7 RT,Tap 7 RT,Point 8 RT,Tap 8 RT,Point 9 RT,Tap 9 RT,Point 10 RT,Tap 10 RT,Point 11 RT,Tap 11 RT,Point 12 RT,Tap 12 RT,Point 13 RT,Tap 13 RT,Point 14 RT,Tap 14 RT,Time Sent Utc,Detail,Finger Used
138,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,9000,4,85.20725,697.636,DEFAULT,1,4,4150,5000,4,"{249, 41}",1383,"{640, 122}",817,"{99, 293}",966,"{49, 102}",984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
139,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,10000,5,85.7999344,653.3394,DEFAULT,1,5,3533,6000,5,"{99, 293}",417,"{427, 315}",700,"{591, 244}",816,"{230, 224}",750,"{249, 41}",850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
140,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,10000,6,87.2744446,691.8111,DEFAULT,1,5,3667,6000,5,"{640, 122}",700,"{230, 224}",567,"{99, 293}",1100,"{456, 183}",550,"{446, 61}",750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
141,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,11000,7,89.86071,662.6543,DEFAULT,0,6,3667,7000,5,"{446, 61}",266,"{49, 102}",601,"{456, 183}",733,"{230, 224}",1300,"{427, 315}",767,"{249, 41}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
142,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,11000,8,89.49643,657.4196,DEFAULT,1,6,4233,7000,6,"{249, 41}",500,"{446, 61}",666,"{640, 122}",867,"{49, 102}",850,"{99, 293}",583,"{427, 315}",767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
143,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,11000,9,89.59599,698.615356,DEFAULT,1,6,5467,7000,6,"{249, 41}",517,"{99, 293}",867,"{49, 102}",800,"{591, 244}",1750,"{230, 224}",616,"{640, 122}",917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
144,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,12000,10,90.537796,668.8319,DEFAULT,0,7,2250,8000,4,"{49, 102}",400,"{249, 41}",533,"{230, 224}",667,"{99, 293}",650,"{591, 244}",N/A,"{456, 183}",N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
145,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,12000,11,89.81223,695.0573,DEFAULT,0,7,6316,8000,5,"{456, 183}",3466,"{591, 244}",617,"{99, 293}",967,"{230, 224}",700,"{49, 102}",566,"{427, 315}",N/A,"{640, 122}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
146,2023-11-29T22:52:09.0650000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_10,Successful,0,Real,Windows 10,1199,1797,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x000046A6) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,12000,12,89.97865,708.6423,DEFAULT,0,7,2950,8000,4,"{99, 293}",1066,"{640, 122}",517,"{230, 224}",750,"{591, 244}",617,"{456, 183}",N/A,"{249, 41}",N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:09.0650000Z,N/A,N/A
147,2023-11-29T22:52:27.3840000Z,0ee16dab-8856-4515-98f8-0e446e23d1e4,WPI1_12,Successful,0,StartingWindow,Windows 10,1758,2995,Eastern Standard Time,"ANGLE (Intel, Intel(R) Iris(R) Plus Graphics (0x00008A52) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.27,0,Chrome 119,3,-1,0,48.8393173,203.974182,DEFAULT,1,3,2317,4000,3,"{99, 293}",900,"{230, 224}",750,"{446, 61}",667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-11-29T22:52:27.3840000Z,N/A,N/A
