Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,RG Color Deficiency,Trial Correct,Trial Cue,Trial Response
nsinternal_rc,2020-05-22T16:07:27.128Z,2020-05-22T16:07:27.128Z,,default,0,108.34771,147.8522,Successful,Real,N/A,Windows 10,799,1198,1.16.36,Pacific Standard Time,0,Firefox 76,Desktop,ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,12,12
nsinternal_rc,2020-05-22T16:07:27.128Z,2020-05-22T16:07:27.128Z,,default,1,109.385277,151.829529,Successful,Real,N/A,Windows 10,799,1198,1.16.36,Pacific Standard Time,0,Firefox 76,Desktop,ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,6,6
nsinternal_rc,2020-05-22T16:07:27.128Z,2020-05-22T16:07:27.128Z,,default,2,110.085785,164.673889,Successful,Real,N/A,Windows 10,799,1198,1.16.36,Pacific Standard Time,0,Firefox 76,Desktop,ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,73,73
nsinternal_rc,2020-05-22T16:07:27.128Z,2020-05-22T16:07:27.128Z,,default,3,109.584229,188.995941,Successful,Real,N/A,Windows 10,799,1198,1.16.36,Pacific Standard Time,0,Firefox 76,Desktop,ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
nsinternal_rc,2020-05-22T16:07:27.128Z,2020-05-22T16:07:27.128Z,,default,4,100.704231,367.6693,Successful,Real,N/A,Windows 10,799,1198,1.16.36,Pacific Standard Time,0,Firefox 76,Desktop,ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,45,45
nsinternal_rc,2020-05-22T16:07:27.128Z,2020-05-22T16:07:27.128Z,,default,5,108.827209,153.915588,Successful,Real,N/A,Windows 10,799,1198,1.16.36,Pacific Standard Time,0,Firefox 76,Desktop,ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,35,35
nsinternal_rc,2020-05-22T16:07:27.128Z,2020-05-22T16:07:27.128Z,,default,6,111.806625,136.586075,Successful,Real,N/A,Windows 10,799,1198,1.16.36,Pacific Standard Time,0,Firefox 76,Desktop,ANGLE (Intel(R) HD Graphics 630 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,N/A,1,15,15
nsinternal_so,2020-05-22T18:33:50.942Z,2020-05-22T18:33:50.942Z,,default,0,121.409164,47.5732155,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
nsinternal_so,2020-05-22T18:33:50.942Z,2020-05-22T18:33:50.942Z,,default,1,121.771065,52.23701,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,7,7
nsinternal_so,2020-05-22T18:33:50.942Z,2020-05-22T18:33:50.942Z,,default,2,121.173576,59.7121849,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,6,6
nsinternal_so,2020-05-22T18:33:50.942Z,2020-05-22T18:33:50.942Z,,default,3,121.965462,47.09528,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,12,12
nsinternal_so,2020-05-22T18:33:50.942Z,2020-05-22T18:33:50.942Z,,default,4,121.20417,54.2956657,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,29,29
nsinternal_so,2020-05-22T18:33:50.942Z,2020-05-22T18:33:50.942Z,,default,5,121.150757,62.5460052,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,42,42
nsinternal_so,2020-05-22T18:33:50.942Z,2020-05-22T18:33:50.942Z,,default,6,121.611641,59.39839,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,3,3
nsinternal_ss,2020-05-19T23:08:50.427Z,2020-05-19T23:08:50.427Z,,default,0,123.257729,64.18263,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,1,7,7
nsinternal_ss,2020-05-19T23:08:50.427Z,2020-05-19T23:08:50.427Z,,default,1,122.820786,65.43953,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,1,97,97
nsinternal_ss,2020-05-19T23:08:50.427Z,2020-05-19T23:08:50.427Z,,default,2,122.487328,66.64281,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
