Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Button Pressed,Correct Button,Cue Displayed,Late Response,Response Time,Response Window,Stimulus Color,Stimulus Shape,TaskSwitch State
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,16,94.19977,413.18573,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,0,333,556,Purple,Moon,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,17,94.02089,407.5154,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,0,Shape,0,467,506,Orange,Moon,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,18,93.76729,403.591736,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,433,726,Purple,Sun,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,19,93.61649,396.447327,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,1,667,546,Orange,Moon,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,20,93.4266357,390.361847,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,567,626,Purple,Sun,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,21,93.2577438,385.8181,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,0,567,706,Orange,Moon,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,22,93.14258,379.306152,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,466,676,Purple,Sun,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,23,93.02355,373.95224,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,367,616,Orange,Moon,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,24,92.91619,368.336365,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,0,466,636,Orange,Moon,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,25,92.75788,364.510834,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,467,596,Purple,Sun,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,26,92.63139,359.78598,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,450,566,Purple,Sun,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,27,92.5759048,354.71637,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,433,586,Orange,Moon,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,28,92.51337,349.785675,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,417,526,Purple,Sun,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,29,92.37095,347.1051,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,1,533,476,Purple,Sun,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,30,92.2241,342.905273,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,0,Shape,1,600,526,Orange,Moon,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,31,92.0878448,339.865356,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,433,566,Orange,Moon,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,32,92.04457,335.322449,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,350,516,Purple,Sun,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,33,91.91106,332.590363,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,1,733,556,Purple,Sun,1
