Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Blue Distractors,Button Pressed,Correct Button,Cue Rotated,Degree Of Change,Difficulty Level,Late Response,Original Orientation,Red Rectangles,Response Time,Response Window
nsinternal_ma,2020-05-22T19:54:38.389Z,2020-05-22T19:54:38.389Z,,R2B0,2,95.72314,141.128067,Successful,Initial,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Easy,0,1.67551613,2,1183,-1
nsinternal_ma,2020-05-22T19:54:38.389Z,2020-05-22T19:54:38.389Z,,R2B0,3,97.53364,142.11525,Successful,Initial,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Medium,0,0,2,1067,-1
nsinternal_ma,2020-05-22T19:54:38.389Z,2020-05-22T19:54:38.389Z,,R2B0,4,96.25411,117.879051,Successful,Initial,N/A,Mac OS X 10_13_6,699,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) HD Graphics 6000,English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Medium,0,1.08210409,2,1016,-1
nsinternal_ras,2020-05-20T11:54:28.701Z,2020-05-20T11:54:28.701Z,,R2B0,0,96.8164,436.644867,Successful,Initial,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Easy,0,1.04719758,2,983,-1
nsinternal_ras,2020-05-20T11:54:28.701Z,2020-05-20T11:54:28.701Z,,R2B0,1,100.299965,454.208435,Successful,Initial,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,0,0,0,Easy,0,0,2,867,-1
nsinternal_ras,2020-05-20T11:54:28.701Z,2020-05-20T11:54:28.701Z,,R2B0,2,101.67997,457.5736,Successful,Initial,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Easy,0,0.6981317,2,583,-1
nsinternal_ras,2020-05-20T11:54:28.701Z,2020-05-20T11:54:28.701Z,,R2B0,3,103.233292,454.6275,Successful,Initial,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Medium,0,0,2,383,-1
nsinternal_ras,2020-05-20T11:54:28.701Z,2020-05-20T11:54:28.701Z,,R2B0,4,104.631584,444.2832,Successful,Initial,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Medium,0,0.5235988,2,600,-1
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,0,104.918915,381.079468,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Easy,0,1.43117,2,483,700
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,1,105.485695,377.721069,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,0,0,0,Easy,0,0,2,517,690
