Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Inter Time Interval,Late Response,Response Time,Response Window
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,1,117.806595,77.72071,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,0,1000,0,100,457
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,2,117.811676,77.5025253,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,800,0,300,447
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,3,117.820625,77.39739,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1100,0,316,427
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,4,117.833031,77.4271545,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,900,0,317,397
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,5,117.841576,77.31374,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1100,0,350,357
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,6,117.845528,77.32323,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,900,1,316,307
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,7,117.84108,77.27659,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,800,0,317,347
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,8,117.847717,77.38677,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1200,1,350,337
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,9,117.845047,77.486496,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1000,0,284,377
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,10,117.844063,77.475174,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1100,0,317,367
