Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Object Count,Point 0 RT,Point 1 RT,Point 10 RT,Point 11 RT,Point 12 RT,Point 13 RT,Point 14 RT,Point 2 RT,Point 3 RT,Point 4 RT,Point 5 RT,Point 6 RT,Point 7 RT,Point 8 RT,Point 9 RT,Response Time,Response Window,Stimulus Array Time,Tap 0 RT,Tap 1 RT,Tap 10 RT,Tap 11 RT,Tap 12 RT,Tap 13 RT,Tap 14 RT,Tap 2 RT,Tap 3 RT,Tap 4 RT,Tap 5 RT,Tap 6 RT,Tap 7 RT,Tap 8 RT,Tap 9 RT,Total Taps
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,15,112.303551,255.9315,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,9,"{230, 224}","{640, 122}",N/A,N/A,N/A,N/A,N/A,"{427, 315}","{446, 61}","{456, 183}","{591, 244}","{99, 293}","{249, 41}","{49, 102}",N/A,6450,14000,10000,450,634,N/A,N/A,N/A,N/A,N/A,750,783,566,651,733,1283,600,N/A,9
nsinternal_ss,2020-05-20T01:17:42.947Z,2020-05-20T01:17:42.947Z,,default,16,112.019142,256.4488,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,9,"{49, 102}","{446, 61}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{591, 244}","{249, 41}","{99, 293}","{230, 224}","{456, 183}","{427, 315}",N/A,6450,14000,10000,833,617,N/A,N/A,N/A,N/A,N/A,716,717,950,767,567,683,600,N/A,9
nsinternal_vs,2020-05-24T03:53:33.475Z,2020-05-24T03:53:33.475Z,,default,0,120.873383,83.2714157,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,1,3,"{99, 293}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1967,8000,4000,717,567,N/A,N/A,N/A,N/A,N/A,683,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
nsinternal_vs,2020-05-24T03:53:33.475Z,2020-05-24T03:53:33.475Z,,default,1,120.531517,68.6635361,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,1,3,"{456, 183}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{591, 244}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1900,8000,4000,700,583,N/A,N/A,N/A,N/A,N/A,617,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
nsinternal_vs,2020-05-24T03:53:33.475Z,2020-05-24T03:53:33.475Z,,default,2,120.108383,65.69539,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,1,4,"{456, 183}","{99, 293}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{230, 224}",N/A,N/A,N/A,N/A,N/A,N/A,2650,9000,5000,234,783,N/A,N/A,N/A,N/A,N/A,700,933,N/A,N/A,N/A,N/A,N/A,N/A,4
nsinternal_vs,2020-05-24T03:53:33.475Z,2020-05-24T03:53:33.475Z,,default,3,119.79464,63.1238632,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,1,4,"{249, 41}","{640, 122}",N/A,N/A,N/A,N/A,N/A,"{99, 293}","{49, 102}",N/A,N/A,N/A,N/A,N/A,N/A,2684,9000,5000,367,733,N/A,N/A,N/A,N/A,N/A,817,767,N/A,N/A,N/A,N/A,N/A,N/A,4
nsinternal_vs,2020-05-24T03:53:33.475Z,2020-05-24T03:53:33.475Z,,default,4,119.935188,65.47492,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,1,5,"{99, 293}","{427, 315}",N/A,N/A,N/A,N/A,N/A,"{591, 244}","{230, 224}","{249, 41}",N/A,N/A,N/A,N/A,N/A,2600,10000,6000,317,617,N/A,N/A,N/A,N/A,N/A,533,567,566,N/A,N/A,N/A,N/A,N/A,5
nsinternal_vs,2020-05-24T03:53:33.475Z,2020-05-24T03:53:33.475Z,,default,5,119.609627,69.80956,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,1,5,"{640, 122}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{99, 293}","{456, 183}","{446, 61}",N/A,N/A,N/A,N/A,N/A,3317,10000,6000,367,683,N/A,N/A,N/A,N/A,N/A,683,900,684,N/A,N/A,N/A,N/A,N/A,5
nsinternal_vs,2020-05-24T03:53:33.475Z,2020-05-24T03:53:33.475Z,,default,6,119.039169,70.30367,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,1,6,"{446, 61}","{49, 102}",N/A,N/A,N/A,N/A,N/A,"{456, 183}","{230, 224}","{427, 315}","{249, 41}",N/A,N/A,N/A,N/A,3734,11000,7000,417,683,N/A,N/A,N/A,N/A,N/A,684,616,534,800,N/A,N/A,N/A,N/A,6
nsinternal_vs,2020-05-24T03:53:33.475Z,2020-05-24T03:53:33.475Z,,default,7,118.927025,77.08706,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,1,6,"{249, 41}","{446, 61}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{49, 102}","{99, 293}","{427, 315}",N/A,N/A,N/A,N/A,3900,11000,7000,566,484,N/A,N/A,N/A,N/A,N/A,533,867,683,767,N/A,N/A,N/A,N/A,6
