"5033.980011940002","N/A","N/A","N/A","5","472.6890325546265","N/A","{692, 687}","788.8890504837036","{823, 602}","0","4125.871002674103","N/A","N/A","N/A","{564, 206}","N/A","{221, 561}","{87, 583}","N/A","1256.895005702972","3623.822033405304","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5031.421959400177","N/A","N/A","N/A","5","408.9699983596802","N/A","{844, 445}","593.2570099830627","{282, 284}","0","2661.653995513916","N/A","N/A","N/A","{87, 583}","N/A","{327, 689}","{476, 643}","N/A","809.1950416564941","1020.026028156281","N/A","N/A","5","2159.597039222717","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",






"","TIME:","2017-09-28T13:25:45-0700","",""
"","USER ID:","ADMIN-UCSF-pe049","",""
"","User Name:","pe049","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","37","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","NO","",""
"Stimulus Array Time","Tap 11 RT","Point 10 RT","Point 14 RT","Object Count","Tap 1 RT","Tap 14 RT","Point 1 RT","Tap 2 RT","Point 2 RT","Correct Button","Response Time","Point 6 RT","Point 7 RT","Point 8 RT","Point 3 RT","Point 9 RT","Point 4 RT","Point 5 RT","Tap 12 RT","Tap 3 RT","Tap 4 RT","Point 11 RT","Point 15 RT","Total Taps","Tap 5 RT","Tap 15 RT","Tap 6 RT","Tap 10 RT","Point 12 RT","Tap 7 RT","Tap 8 RT","Tap 13 RT","Tap 9 RT","Point 13 RT",
"3019.971013069153","N/A","N/A","N/A","3","322.8210210800171","N/A","{949, 664}","N/A","{91, 467}","0","824.9660134315491","N/A","N/A","N/A","{722, 432}","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3020.147979259491","N/A","N/A","N/A","3","295.1729893684387","N/A","{953, 522}","N/A","{813, 572}","0","797.327995300293","N/A","N/A","N/A","{91, 467}","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",






"","TIME:","2017-09-29T11:54:07-0700","",""
"","USER ID:","ADMIN-UCSF-pe269","",""
"","User Name:","pe269","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","37","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","NO","",""
"Stimulus Array Time","Tap 11 RT","Point 10 RT","Point 14 RT","Object Count","Tap 1 RT","Tap 14 RT","Point 1 RT","Tap 2 RT","Point 2 RT","Correct Button","Response Time","Point 6 RT","Point 7 RT","Point 8 RT","Point 3 RT","Point 9 RT","Point 4 RT","Point 5 RT","Tap 12 RT","Tap 3 RT","Tap 4 RT","Point 11 RT","Point 15 RT","Total Taps","Tap 5 RT","Tap 15 RT","Tap 6 RT","Tap 10 RT","Point 12 RT","Tap 7 RT","Tap 8 RT","Tap 13 RT","Tap 9 RT","Point 13 RT",
"3020.040035247803","N/A","N/A","N/A","3","391.7849659919739","N/A","{110, 163}","718.858003616333","{912, 165}","1","1754.633963108063","N/A","N/A","N/A","{727, 687}","N/A","N/A","N/A","N/A","1251.881003379822","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3020.653009414673","N/A","N/A","N/A","3","695.9519982337952","N/A","{706, 425}","N/A","{847, 520}","0","1198.068976402283","N/A","N/A","N/A","{374, 500}","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3020.519018173218","N/A","N/A","N/A","3","857.8850030899048","N/A","{174, 469}","N/A","{342, 331}","0","1360.035002231598","N/A","N/A","N/A","{427, 196}","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",






"","TIME:","2017-10-02T11:03:08-0700","",""
"","USER ID:","ADMIN-UCSF-mk088","",""
"","User Name:","mk088","",""
"","User Age:","11","",""
"","User Grade:","6","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","37","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","NO","",""
"Stimulus Array Time","Tap 11 RT","Point 10 RT","Point 14 RT","Object Count","Tap 1 RT","Tap 14 RT","Point 1 RT","Tap 2 RT","Point 2 RT","Correct Button","Response Time","Point 6 RT","Point 7 RT","Point 8 RT","Point 3 RT","Point 9 RT","Point 4 RT","Point 5 RT","Tap 12 RT","Tap 3 RT","Tap 4 RT","Point 11 RT","Point 15 RT","Total Taps","Tap 5 RT","Tap 15 RT","Tap 6 RT","Tap 10 RT","Point 12 RT","Tap 7 RT","Tap 8 RT","Tap 13 RT","Tap 9 RT","Point 13 RT",
"3020.308017730713","N/A","N/A","N/A","3","1053.426027297974","N/A","{830, 460}","N/A","{727, 602}","0","1555.600047111511","N/A","N/A","N/A","{513, 179}","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3020.12699842453","N/A","N/A","N/A","3","409.1950058937073","N/A","{727, 602}","836.3710045814514","{686, 394}","1","1639.032959938049","N/A","N/A","N/A","{118, 333}","N/A","N/A","N/A","N/A","1136.952996253967","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3020.18803358078","N/A","N/A","N/A","3","797.7919578552246","N/A","{542, 461}","1965.114951133728","{641, 264}","1","3145.65098285675","N/A","N/A","N/A","{118, 333}","N/A","N/A","N/A","N/A","2643.322944641113","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4026.208996772766","N/A","N/A","N/A","4","507.4030160903931","N/A","{830, 460}","901.1890292167664","{258, 535}","1","3393.160998821259","N/A","N/A","N/A","{325, 673}","N/A","{542, 461}","N/A","N/A","1740.079998970032","2891.063034534454","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4026.682019233704","N/A","N/A","N/A","4","476.4180183410645","N/A","{595, 591}","886.085033416748","{258, 535}","1","2405.416011810303","N/A","N/A","N/A","{830, 310}","N/A","{464, 647}","N/A","N/A","1480.058014392853","1903.235018253326","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5035.33798456192","N/A","N/A","N/A","5","324.368953704834","N/A","{472, 332}","808.2969784736633","{595, 591}","0","2986.755967140198","N/A","N/A","N/A","{727, 602}","N/A","{119, 569}","{542, 461}","N/A","1351.962983608246","2485.59695482254","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5031.781017780304","N/A","N/A","N/A","5","766.510009765625","N/A","{118, 333}","1060.86802482605","{311, 181}","0","1562.965035438538","N/A","N/A","N/A","{542, 461}","N/A","{830, 310}","{258, 535}","N/A","N/A","N/A","N/A","N/A","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",






"","TIME:","2017-10-02T12:33:42-0700","",""
"","USER ID:","ADMIN-UCSF-la089","",""
"","User Name:","la089","",""
"","User Age:","11","",""
"","User Grade:","6","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","LEFT","",""
"","iPad Number:","37","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","NO","",""
"Stimulus Array Time","Tap 11 RT","Point 10 RT","Point 14 RT","Object Count","Tap 1 RT","Tap 14 RT","Point 1 RT","Tap 2 RT","Point 2 RT","Correct Button","Response Time","Point 6 RT","Point 7 RT","Point 8 RT","Point 3 RT","Point 9 RT","Point 4 RT","Point 5 RT","Tap 12 RT","Tap 3 RT","Tap 4 RT","Point 11 RT","Point 15 RT","Total Taps","Tap 5 RT","Tap 15 RT","Tap 6 RT","Tap 10 RT","Point 12 RT","Tap 7 RT","Tap 8 RT","Tap 13 RT","Tap 9 RT","Point 13 RT",
"3018.814980983734","N/A","N/A","N/A","3","1623.426973819733","N/A","{341, 651}","2708.024978637695","{934, 438}","0","4175.678968429565","N/A","N/A","N/A","{525, 146}","N/A","N/A","N/A","N/A","3673.5999584198","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3019.222974777222","N/A","N/A","N/A","3","833.6339592933655","N/A","{902, 307}","1181.176006793976","{341, 651}","1","2292.505979537964","N/A","N/A","N/A","{99, 316}","N/A","N/A","N/A","N/A","1790.511965751648","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3019.2049741745","N/A","N/A","N/A","3","1400.151014328003","N/A","{121, 696}","1833.829045295715","{473, 686}","0","2763.523995876312","N/A","N/A","N/A","{525, 146}","N/A","N/A","N/A","N/A","2261.505007743835","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"3020.464956760406","N/A","N/A","N/A","3","1096.377968788147","N/A","{341, 651}","1628.403007984161","{121, 696}","1","2608.985006809235","N/A","N/A","N/A","{64, 186}","N/A","N/A","N/A","N/A","2106.976985931396","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4025.692999362946","N/A","N/A","N/A","4","3728.677988052368","N/A","{419, 307}","4811.376988887787","{262, 469}","0","8046.504020690918","N/A","N/A","N/A","{730, 133}","N/A","{114, 564}","N/A","N/A","7544.426023960114","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4026.093006134033","N/A","N/A","N/A","4","769.1859602928162","N/A","{944, 652}","1113.411009311676","{704, 624}","1","2332.601964473724","N/A","N/A","N/A","{419, 307}","N/A","{802, 496}","N/A","N/A","1652.746975421906","1830.578982830048","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4026.40700340271","N/A","N/A","N/A","4","1224.865019321442","N/A","{730, 133}","1674.714028835297","{419, 307}","0","2621.659994125366","N/A","N/A","N/A","{664, 296}","N/A","{944, 652}","N/A","N/A","2119.612038135529","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"4028.643012046814","N/A","N/A","N/A","4","720.8899855613708","N/A","{336, 177}","1104.523003101349","{291, 316}","1","2184.185981750488","N/A","N/A","N/A","{99, 316}","N/A","{121, 696}","N/A","N/A","1415.268003940582","1682.110965251923","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5032.130002975464","N/A","N/A","N/A","5","915.3289794921875","N/A","{114, 564}","1282.854974269867","{526, 459}","0","6085.747957229614","N/A","N/A","N/A","{473, 686}","N/A","{336, 177}","{730, 133}","N/A","2148.54097366333","3699.144959449768","N/A","N/A","5","5584.297955036163","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",
"5035.615980625153","N/A","N/A","N/A","5","1123.762965202332","N/A","{473, 686}","1256.608963012695","{525, 146}","0","1991.306960582733","N/A","N/A","N/A","{872, 137}","N/A","{341, 651}","{902, 307}","N/A","1489.151000976562","N/A","N/A","N/A","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",






