"","TIME:","2017-09-08T09:55:54-0700","",""
"","USER ID:","ADMIN-UCSF-bo034","",""
"","User Name:","bo034","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 40;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
    TraceTime = 20;
}","",""
"Tap & Trace (Trace)",
"TOTAL DOTS TRACED"
"213",
"Trace Only",
"TOTAL DOTS TRACED"
"49",
"Tap & Trace",
"Correct Button","DISCRIMINATION CUE TYPE","Is Valid Cue","Response Window","Trial Accuracy","Response Time","CUE","Late Response",
"1","HCL","0","320","Correct Rejection","0","Green Pentagon","N/A",
"0","TARGET","1","320","Hit","445.1450109481812","Green Circle","1",
"0","TARGET","1","360","Hit","634.1609954833984","Green Circle","1",
"0","TARGET","1","400","Hit","784.1830253601074","Green Circle","1",
"0","MCL","0","480","False Alarm","553.0830025672913","Red Circle","N/A",
"1","LCL","0","640","Correct Rejection","0","Yellow Square","N/A",
"1","TARGET","1","640","Hit","588.7579917907715","Green Circle","0",
"0","TARGET","1","630","Hit","717.4550294876099","Green Circle","1",
"1","MCL","0","670","Correct Rejection","0","Red Circle","N/A",
"0","TARGET","1","670","Hit","670.665979385376","Green Circle","1",
"1","HCL","0","710","Correct Rejection","0","Green Pentagon","N/A",
"1","HCL","0","710","Correct Rejection","0","Green Square","N/A",
"1","TARGET","1","710","Hit","556.7790269851685","Green Circle","0",
"1","HCL","0","700","Correct Rejection","0","Green Pentagon","N/A",
"1","LCL","0","700","Correct Rejection","0","Red Square","N/A",
"1","HCL","0","700","Correct Rejection","0","Green Pentagon","N/A",
"1","LCL","0","700","Correct Rejection","0","Red Pentagon","N/A",
"0","TARGET","1","700","Hit","728.2800078392029","Green Circle","1",
"1","HCL","0","740","Correct Rejection","0","Green Pentagon","N/A",
"0","TARGET","1","740","Miss","N/A","Green Circle","1",






"","TIME:","2017-09-14T10:55:07-0700","",""
"","USER ID:","ADMIN-UCSF-se084","",""
"","User Name:","se084","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
