"","TIME:","2017-09-28T09:03:57-0700","",""
"","USER ID:","ADMIN-UCSF-pe193","",""
"","User Name:","pe193","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"1","GREEN","780","CONGRUENT","615.8859729766846","0","GREEN",
"1","YELLOW","760","CONGRUENT","700.4500031471252","0","YELLOW",
"1","YELLOW","720","CONGRUENT","730.879008769989","1","YELLOW",
"0","GREEN","710","CONGRUENT","N/A","1","N/A",
"1","YELLOW","820","INCONGRUENT","633.7389945983887","0","YELLOW",
"0","YELLOW","800","INCONGRUENT","565.7029747962952","0","WHITE",
"1","RED","750","CONGRUENT","516.7370438575745","0","RED",
"1","WHITE","740","CONGRUENT","523.622989654541","0","WHITE",
"1","WHITE","730","CONGRUENT","506.3880085945129","0","WHITE",
"1","WHITE","710","CONGRUENT","606.2300205230713","0","WHITE",
"1","YELLOW","670","CONGRUENT","522.9199528694153","0","YELLOW",
"1","RED","590","CONGRUENT","589.4110202789307","0","RED",
"1","GREEN","840","INCONGRUENT","463.5930061340332","0","GREEN",
"1","GREEN","430","CONGRUENT","504.4080018997192","1","GREEN",
"1","GREEN","420","CONGRUENT","363.0720376968384","0","GREEN",
"1","YELLOW","830","INCONGRUENT","762.9439830780029","0","YELLOW",
"1","YELLOW","820","INCONGRUENT","652.6349782943726","0","YELLOW",
"1","GREEN","410","CONGRUENT","671.8429923057556","1","GREEN",
"1","GREEN","400","CONGRUENT","592.8679704666138","1","GREEN",
"1","WHITE","800","INCONGRUENT","553.0909895896912","0","WHITE",
"1","WHITE","390","CONGRUENT","609.78102684021","1","WHITE",
"1","YELLOW","380","CONGRUENT","410.660982131958","1","YELLOW",
"1","YELLOW","370","CONGRUENT","503.9039850234985","1","YELLOW",
"1","RED","360","CONGRUENT","611.7209792137146","1","RED",
"1","YELLOW","350","CONGRUENT","708.450973033905","1","YELLOW",
"1","GREEN","340","CONGRUENT","584.7139954566956","1","GREEN",
"1","GREEN","330","CONGRUENT","686.47700548172","1","GREEN",
"1","GREEN","320","CONGRUENT","601.5909910202026","1","GREEN",
"1","GREEN","760","INCONGRUENT","544.3530082702637","0","GREEN",
"1","GREEN","680","INCONGRUENT","561.4680051803589","0","GREEN",
"1","YELLOW","520","INCONGRUENT","669.9509620666504","1","YELLOW",
"1","WHITE","310","CONGRUENT","594.4769978523254","1","WHITE",
"1","GREEN","300","CONGRUENT","591.4959907531738","1","GREEN",
"1","YELLOW","510","INCONGRUENT","736.0000014305115","1","YELLOW",
"0","GREEN","290","CONGRUENT","N/A","1","N/A",
"0","RED","10530","CONGRUENT","181.8580031394958","0","GREEN",
"1","YELLOW","20770","CONGRUENT","773.9460468292236","0","YELLOW",
"1","YELLOW","20760","CONGRUENT","583.7990045547485","0","YELLOW",
"1","YELLOW","500","INCONGRUENT","1549.223005771637","1","YELLOW",
"1","YELLOW","20750","CONGRUENT","873.2579946517944","0","YELLOW",
"1","YELLOW","20730","CONGRUENT","573.3649730682373","0","YELLOW",
"1","WHITE","490","INCONGRUENT","576.1290192604065","1","WHITE",
"1","YELLOW","20690","CONGRUENT","414.4869446754456","0","YELLOW",
"1","YELLOW","20610","CONGRUENT","485.5629801750183","0","YELLOW",
"1","WHITE","20450","CONGRUENT","539.0859842300415","0","WHITE",






