"","TIME:","2017-09-28T09:03:57-0700","",""
"","USER ID:","ADMIN-UCSF-pe193","",""
"","User Name:","pe193","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"1","YELLOW","110","CONGRUENT","522.462010383606","1","YELLOW",
"1","RED","100","CONGRUENT","438.2960200309753","1","RED",
"1","WHITE","760","INCONGRUENT","517.9660320281982","0","WHITE",
"1","WHITE","90","CONGRUENT","426.6639947891235","1","WHITE",
"1","RED","80","CONGRUENT","446.7899799346924","1","RED",
"1","WHITE","70","CONGRUENT","543.9620018005371","1","WHITE",
"1","WHITE","60","CONGRUENT","423.3289957046509","1","WHITE",
"1","GREEN","50","CONGRUENT","559.5729947090149","1","GREEN",
"1","WHITE","40","CONGRUENT","470.6659913063049","1","WHITE",
"1","YELLOW","720","INCONGRUENT","727.1260023117065","1","YELLOW",
"1","GREEN","30","CONGRUENT","527.1220207214355","1","GREEN",
"1","GREEN","710","INCONGRUENT","467.9040312767029","0","GREEN",
"1","WHITE","700","INCONGRUENT","559.6200227737427","0","WHITE",
"1","WHITE","20","CONGRUENT","527.239978313446","1","WHITE",
"1","YELLOW","690","INCONGRUENT","562.7290010452271","0","YELLOW",
"1","GREEN","10","CONGRUENT","564.9569630622864","1","GREEN",
"1","GREEN","0","CONGRUENT","518.0500149726868","1","GREEN",
"1","WHITE","670","INCONGRUENT","450.3610134124756","0","WHITE",
"1","GREEN","150","CONGRUENT","672.8100180625916","1","GREEN",
"1","RED","140","CONGRUENT","482.7340245246887","1","RED",
"1","WHITE","630","INCONGRUENT","437.1729493141174","0","WHITE",
"1","GREEN","550","INCONGRUENT","377.7559995651245","0","GREEN",
"0","YELLOW","130","CONGRUENT","N/A","1","N/A",
"1","GREEN","390","INCONGRUENT","639.689028263092","1","GREEN",
"1","YELLOW","380","INCONGRUENT","558.0419898033142","1","YELLOW",
"1","RED","10370","CONGRUENT","558.9849948883057","0","RED",
"1","GREEN","10360","CONGRUENT","622.6919889450073","0","GREEN",
"1","WHITE","10350","CONGRUENT","483.0399751663208","0","WHITE",
"1","WHITE","370","INCONGRUENT","448.4609961509705","1","WHITE",
"1","YELLOW","360","INCONGRUENT","497.7980256080627","1","YELLOW",






"","TIME:","2017-09-29T11:29:03-0700","",""
"","USER ID:","ADMIN-UCSF-pe305","",""
"","User Name:","pe305","",""
