"","TIME:","2017-09-08T09:49:36-0700","",""
"","USER ID:","ADMIN-UCSF-bo008","",""
"","User Name:","bo008","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","19","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 12;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 1500;
    MemoryTime = 200;
    "P-Start" = 1500;
    Practice = 4;
    RetentionTime = 900;
    Start = 1000;
    TRI = 200;
    TestTime = 2000;
}","",""
"R4B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","1","3.141592741012573","1500","0","Medium","0.7853981852531433","973.406970500946","0","4",
"1","0","-0.2617993950843811","1500","0","Hard","0","1195.348024368286","0","4",
"1","0","1.570796370506287","1500","0","Hard","0","914.2410159111023","0","4",
"1","0","-1.308996915817261","1500","0","Hard","0","812.5109672546387","0","4",
"1","1","1.047197580337524","1500","0","Hard","3.141592741012573","878.6740303039551","0","4",
"1","0","1.047197580337524","1500","0","Hard","0","927.2300004959106","0","4",
"1","0","-1.047197580337524","1500","0","Hard","0","878.3810138702393","0","4",


"R2B2",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","0","0.2617993950843811","1500","2","Hard","0","895.891010761261","0","2",
"1","1","-0.2617993950843811","1500","2","Hard","-1.308996915817261","696.1179971694946","0","2",
"1","0","-0.5235987901687622","1500","2","Hard","0","892.6309943199158","0","2",
"1","1","3.141592741012573","1500","2","Hard","0.7853981852531433","974.8010039329529","0","2",
"0","0","-0.2617993950843811","1500","2","Hard","0","1076.20894908905","0","2",
"1","1","-1.047197580337524","1500","2","Hard","0.2617993950843811","740.198016166687","0","2",
"1","0","-0.2617993950843811","1500","2","Hard","0","1057.868957519531","0","2",
"1","1","-1.047197580337524","1500","2","Hard","-0.2617993950843811","941.1110281944275","0","2",
"1","1","-0.2617993950843811","1500","2","Hard","1.570796370506287","1087.346017360687","0","2",
"1","0","-0.2617993950843811","1500","2","Hard","0","1157.624006271362","0","2",
"0","1","-1.308996915817261","1500","2","Hard","-0.7853981852531433","1336.665034294128","0","2",
"1","0","0.7853981852531433","1500","2","Hard","0","965.315043926239","0","2",


"R2B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","0","-0.7853981852531433","1500","0","Easy","0","1017.823040485382","0","2",
"1","1","0.7853981852531433","1500","0","Easy","3.141592741012573","840.8389687538147","0","2",
"1","0","-0.5235987901687622","1500","0","Medium","0","1221.349000930786","0","2",
"1","0","1.047197580337524","1500","0","Medium","0","789.0920042991638","0","2",
"1","0","0.2617993950843811","1500","0","Hard","0","886.5969777107239","0","2",
"1","0","1.308996915817261","1500","0","Hard","0","819.8990225791931","0","2",
"0","0","-0.2617993950843811","1500","0","Hard","0","866.1640286445618","0","2",
"1","1","0.7853981852531433","1500","0","Hard","1.308996915817261","985.8660101890564","0","2",
"0","1","0.7853981852531433","1500","0","Hard","1.308996915817261","1115.04203081131","0","2",
"1","1","-0.7853981852531433","1500","0","Hard","1.308996915817261","835.2490067481995","0","2",
"0","1","-0.7853981852531433","1500","0","Hard","0.5235987901687622","1149.532973766327","0","2",
"1","1","1.047197580337524","1500","0","Hard","-0.5235987901687622","997.2440004348755","0","2",


"R4B2",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","1","0.2617993950843811","1500","2","Hard","3.141592741012573","1154.804050922394","0","4",
"0","1","1.308996915817261","1500","2","Hard","0.7853981852531433","1005.121052265167","0","4",
"1","1","3.141592741012573","1500","2","Hard","0.5235987901687622","867.501974105835","0","4",
"1","0","-0.7853981852531433","1500","2","Hard","0","1461.979031562805","0","4",
"1","0","1.308996915817261","1500","2","Hard","0","896.8799710273743","0","4",
"0","1","1.047197580337524","1500","2","Hard","0.7853981852531433","1121.011018753052","0","4",
"1","1","1.047197580337524","1500","2","Hard","-1.308996915817261","967.38600730896","0","4",
"0","0","0.5235987901687622","1500","2","Hard","0","1303.75999212265","0","4",
"1","0","0.7853981852531433","1500","2","Hard","0","918.1369543075562","0","4",
"1","0","1.570796370506287","1500","2","Hard","0","1132.816016674042","0","4",
"0","1","3.141592741012573","1500","2","Hard","-0.7853981852531433","1086.275994777679","0","4",
"1","0","3.141592741012573","1500","2","Hard","0","986.8800044059753","0","4",


"R2B4",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","0","0.5235987901687622","1500","4","Hard","0","971.4149832725525","0","2",
"1","1","0.5235987901687622","1500","4","Hard","1.047197580337524","1405.637979507446","0","2",
"1","0","1.047197580337524","1500","4","Hard","0","769.3529725074768","0","2",
"1","1","-0.5235987901687622","1500","4","Hard","3.141592741012573","886.2760066986084","0","2",
"1","0","-0.5235987901687622","1500","4","Hard","0","854.3220162391663","0","2",
"0","1","0.7853981852531433","1500","4","Hard","1.047197580337524","1163.743019104004","0","2",
"0","0","1.308996915817261","1500","4","Hard","0","931.1760067939758","0","2",
"0","1","0.5235987901687622","1500","4","Medium","3.141592741012573","845.6310033798218","0","2",
"1","0","1.047197580337524","1500","4","Medium","0","1230.446040630341","0","2",
"0","1","1.047197580337524","1500","4","Medium","0.7853981852531433","581.2619924545288","0","2",
"1","1","1.570796370506287","1500","4","Medium","0.5235987901687622","1046.782970428467","0","2",
"1","0","3.141592741012573","1500","4","Medium","0","812.4229907989502","0","2",






"","TIME:","2017-09-14T09:26:00-0700","",""
"","USER ID:","ADMIN-UCSF-se104","",""
"","User Name:","se104","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","49","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 12;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 1500;
    MemoryTime = 200;
    "P-Start" = 1500;
    Practice = 4;
    RetentionTime = 900;
    Start = 1000;
    TRI = 200;
    TestTime = 2000;
}","",""
"R4B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","1","0.5235987901687622","1500","0","Hard","1.570796370506287","1381.035983562469","0","4",
"1","1","-1.308996915817261","1500","0","Hard","1.570796370506287","1193.665027618408","0","4",
